"Date","Price","Open","High","Low","Vol.","Change %"
"06/21/2023","0.000004","0.000003","0.000004","0.000002","2.21B","0.00%"
"06/20/2023","0.000003","0.000004","0.000005","0.000003","2.00B","-23.15%"
"06/19/2023","0.000004","0.000009","0.000010","0.000003","3.19B","-52.58%"
"06/18/2023","0.000009","0.000009","0.000010","0.000009","252.98M","0.00%"
"06/17/2023","0.000009","0.000007","0.000010","0.000007","1.11B","40.51%"
"06/16/2023","0.000007","0.000015","0.000015","0.000006","2.19B","-55.04%"
"06/15/2023","0.000015","0.000015","0.000016","0.000013","141.40M","0.00%"
"06/14/2023","0.000015","0.000018","0.000018","0.000015","162.72M","-16.19%"
"06/13/2023","0.000018","0.000019","0.000019","0.000018","12.02M","-6.15%"
"06/12/2023","0.000019","0.000019","0.000019","0.000019","","0.00%"
"06/11/2023","0.000019","0.000019","0.000019","0.000019","","0.00%"
"06/10/2023","0.000019","0.000020","0.000021","0.000019","82.56M","-4.35%"
"06/09/2023","0.000020","0.000020","0.000021","0.000020","32.28M","0.00%"
"06/08/2023","0.000020","0.000022","0.000022","0.000020","4.18B","-6.21%"
"06/07/2023","0.000022","0.000022","0.000022","0.000022","","0.00%"
"06/06/2023","0.000022","0.000022","0.000022","0.000022","","-3.82%"
"06/05/2023","0.000022","0.000023","0.000023","0.000022","8.27B","0.00%"
"06/04/2023","0.000023","0.000022","0.000023","0.000022","9.40B","2.50%"
"06/03/2023","0.000022","0.000022","0.000023","0.000022","9.52B","0.00%"
"06/02/2023","0.000022","0.000022","0.000022","0.000022","","0.00%"
"06/01/2023","0.000022","0.000022","0.000022","0.000022","","-2.37%"
"05/31/2023","0.000022","0.000023","0.000023","0.000022","9.15B","0.00%"
"05/30/2023","0.000023","0.000022","0.000023","0.000021","9.50B","4.12%"
"05/29/2023","0.000022","0.000022","0.000022","0.000021","9.78B","0.00%"
"05/28/2023","0.000022","0.000022","0.000025","0.000020","9.75B","-3.76%"
"05/27/2023","0.000022","0.000022","0.000023","0.000021","9.03B","2.90%"
"05/26/2023","0.000022","0.000022","0.000022","0.000021","9.08B","0.00%"
"05/25/2023","0.000022","0.000023","0.000023","0.000021","9.21B","-3.82%"
"05/24/2023","0.000023","0.000023","0.000024","0.000022","8.85B","-4.21%"
"05/23/2023","0.000023","0.000024","0.000024","0.000023","8.75B","-4.12%"
"05/22/2023","0.000024","0.000022","0.000025","0.000021","8.95B","9.03%"
"05/21/2023","0.000022","0.000022","0.000023","0.000022","7.73B","0.00%"
"05/20/2023","0.000022","0.000023","0.000023","0.000021","8.69B","-4.26%"
"05/19/2023","0.000023","0.000023","0.000023","0.000022","8.99B","2.27%"
"05/18/2023","0.000023","0.000023","0.000023","0.000022","9.23B","-4.21%"
"05/17/2023","0.000023","0.000023","0.000024","0.000023","8.74B","0.00%"
"05/16/2023","0.000023","0.000024","0.000027","0.000023","8.61B","0.00%"
"05/15/2023","0.000024","0.000021","0.000024","0.000021","8.91B","9.96%"
"05/14/2023","0.000021","0.000022","0.000022","0.000021","9.57B","0.00%"
"05/13/2023","0.000022","0.000022","0.000023","0.000021","9.23B","0.00%"
"05/12/2023","0.000022","0.000022","0.000022","0.000021","9.65B","0.00%"
"05/11/2023","0.000022","0.000023","0.000026","0.000020","9.33B","-5.78%"
"05/10/2023","0.000023","0.000022","0.000023","0.000022","9.08B","4.01%"
"05/09/2023","0.000022","0.000021","0.000022","0.000020","9.69B","7.12%"
"05/08/2023","0.000020","0.000022","0.000026","0.000020","8.87B","-4.70%"
"05/07/2023","0.000022","0.000022","0.000024","0.000021","8.71B","-4.31%"
"05/06/2023","0.000022","0.000027","0.000027","0.000022","8.36B","-15.49%"
"05/05/2023","0.000027","0.000027","0.000029","0.000025","7.64B","-3.10%"
"05/04/2023","0.000027","0.000028","0.000028","0.000027","6.30B","0.00%"
"05/03/2023","0.000028","0.000028","0.000029","0.000027","7.42B","-2.82%"
"05/02/2023","0.000028","0.000030","0.000031","0.000027","7.15B","-6.53%"
"05/01/2023","0.000030","0.000031","0.000031","0.000030","4.74B","0.00%"
"04/30/2023","0.000031","0.000031","0.000031","0.000030","6.74B","0.00%"
"04/29/2023","0.000031","0.000031","0.000031","0.000031","","0.00%"
"04/28/2023","0.000031","0.000031","0.000032","0.000030","6.29B","0.00%"
"04/27/2023","0.000031","0.000031","0.000031","0.000030","6.37B","-1.83%"
"04/26/2023","0.000031","0.000030","0.000036","0.000030","6.50B","2.80%"
"04/25/2023","0.000030","0.000031","0.000031","0.000030","6.65B","0.00%"
"04/24/2023","0.000031","0.000033","0.000034","0.000030","5.48B","-6.09%"
"04/23/2023","0.000033","0.000030","0.000033","0.000030","5.12B","10.13%"
"04/22/2023","0.000030","0.000031","0.000031","0.000029","6.15B","-5.75%"
"04/21/2023","0.000031","0.000031","0.000032","0.000030","5.92B","0.00%"
"04/20/2023","0.000031","0.000029","0.000034","0.000029","6.33B","7.44%"
"04/19/2023","0.000029","0.000031","0.000031","0.000029","6.74B","-4.96%"
"04/18/2023","0.000031","0.000031","0.000031","0.000031","","-2.00%"
"04/17/2023","0.000031","0.000034","0.000035","0.000031","6.19B","-6.14%"
"04/16/2023","0.000034","0.000033","0.000034","0.000032","6.47B","3.04%"
"04/15/2023","0.000033","0.000033","0.000035","0.000032","5.94B","0.00%"
"04/14/2023","0.000033","0.000029","0.000035","0.000029","6.82B","10.55%"
"04/13/2023","0.000029","0.000030","0.000031","0.000029","6.47B","-2.77%"
"04/12/2023","0.000030","0.000032","0.000032","0.000029","5.82B","-4.54%"
"04/11/2023","0.000032","0.000031","0.000032","0.000029","6.27B","3.66%"
"04/10/2023","0.000031","0.000030","0.000031","0.000027","7.07B","0.00%"
"04/09/2023","0.000030","0.000030","0.000031","0.000030","6.81B","0.00%"
"04/08/2023","0.000030","0.000030","0.000032","0.000030","6.56B","0.00%"
"04/07/2023","0.000030","0.000030","0.000031","0.000030","6.96B","0.00%"
"04/06/2023","0.000030","0.000030","0.000032","0.000029","6.45B","0.00%"
"04/05/2023","0.000030","0.000030","0.000034","0.000030","6.45B","0.00%"
"04/04/2023","0.000030","0.000031","0.000033","0.000030","6.35B","-3.30%"
"04/03/2023","0.000031","0.000029","0.000037","0.000028","6.96B","6.82%"
"04/02/2023","0.000029","0.000029","0.000030","0.000029","6.85B","0.00%"
"04/01/2023","0.000029","0.000030","0.000030","0.000029","7.08B","0.00%"
"03/31/2023","0.000030","0.000031","0.000031","0.000029","6.94B","-3.21%"
"03/30/2023","0.000031","0.000030","0.000033","0.000030","6.90B","0.00%"
"03/29/2023","0.000030","0.000030","0.000030","0.000030","","0.00%"
"03/28/2023","0.000030","0.000030","0.000031","0.000030","6.40B","0.00%"
"03/27/2023","0.000030","0.000032","0.000032","0.000030","5.63B","-4.35%"
"03/26/2023","0.000032","0.000031","0.000032","0.000031","5.02B","2.14%"
"03/25/2023","0.000031","0.000031","0.000031","0.000031","","-2.00%"
"03/24/2023","0.000031","0.000030","0.000032","0.000030","6.67B","4.30%"
"03/23/2023","0.000030","0.000031","0.000033","0.000030","6.81B","-3.21%"
"03/22/2023","0.000031","0.000030","0.000038","0.000030","6.72B","2.40%"
"03/21/2023","0.000030","0.000031","0.000031","0.000030","6.77B","-3.24%"
"03/20/2023","0.000031","0.000033","0.000033","0.000031","6.19B","-3.23%"
"03/19/2023","0.000033","0.000033","0.000033","0.000031","5.76B","0.00%"
"03/18/2023","0.000033","0.000031","0.000037","0.000031","6.16B","7.01%"
"03/17/2023","0.000031","0.000030","0.000031","0.000029","6.09B","2.38%"
"03/16/2023","0.000030","0.000030","0.000031","0.000029","6.36B","-2.20%"
"03/15/2023","0.000030","0.000031","0.000031","0.000029","6.75B","-2.43%"
"03/14/2023","0.000031","0.000029","0.000033","0.000029","6.59B","6.92%"
"03/13/2023","0.000029","0.000029","0.000030","0.000028","6.99B","0.00%"
"03/12/2023","0.000029","0.000029","0.000031","0.000027","6.20B","0.00%"
"03/11/2023","0.000029","0.000031","0.000031","0.000027","7.11B","-7.70%"
"03/10/2023","0.000031","0.000030","0.000035","0.000030","6.51B","6.47%"
"03/09/2023","0.000030","0.000038","0.000039","0.000027","5.86B","-21.89%"
"03/08/2023","0.000038","0.000037","0.000040","0.000036","5.56B","0.00%"
"03/07/2023","0.000037","0.000042","0.000042","0.000037","5.36B","-10.10%"
"03/06/2023","0.000042","0.000037","0.000048","0.000035","5.85B","13.94%"
"03/05/2023","0.000037","0.000035","0.000037","0.000034","5.23B","5.94%"
"03/04/2023","0.000035","0.000035","0.000037","0.000034","5.70B","0.00%"
"03/03/2023","0.000035","0.000038","0.000038","0.000031","5.75B","-10.29%"
"03/02/2023","0.000038","0.000040","0.000040","0.000038","5.14B","-4.85%"
"03/01/2023","0.000040","0.000040","0.000042","0.000040","4.98B","0.00%"
"02/28/2023","0.000040","0.000039","0.000041","0.000038","5.33B","2.43%"
"02/27/2023","0.000039","0.000037","0.000041","0.000037","5.44B","5.42%"
"02/26/2023","0.000037","0.000036","0.000038","0.000036","5.62B","5.31%"
"02/25/2023","0.000036","0.000037","0.000038","0.000035","5.63B","-3.24%"
"02/24/2023","0.000037","0.000037","0.000040","0.000037","5.21B","-1.87%"
"02/23/2023","0.000037","0.000037","0.000039","0.000037","5.66B","0.00%"
"02/22/2023","0.000037","0.000037","0.000042","0.000037","5.48B","0.00%"
"02/21/2023","0.000038","0.000038","0.000040","0.000037","5.60B","-2.52%"
"02/20/2023","0.000038","0.000044","0.000044","0.000037","5.40B","-13.47%"
"02/19/2023","0.000044","0.000049","0.000052","0.000042","4.58B","-8.46%"
"02/18/2023","0.000049","0.000052","0.000053","0.000047","4.37B","-6.83%"
"02/17/2023","0.000052","0.000048","0.000054","0.000047","4.24B","9.15%"
"02/16/2023","0.000048","0.000052","0.000053","0.000048","4.36B","-8.96%"
"02/15/2023","0.000052","0.000055","0.000060","0.000048","3.29B","-4.10%"
"02/14/2023","0.000055","0.000054","0.000062","0.000050","4.22B","0.00%"
"02/13/2023","0.000054","0.000054","0.000058","0.000050","3.75B","1.04%"
"02/12/2023","0.000054","0.000060","0.000068","0.000053","3.60B","-10.79%"
"02/11/2023","0.000060","0.000062","0.000076","0.000048","4.48B","-3.18%"
"02/10/2023","0.000062","0.000050","0.000074","0.000047","4.54B","25.36%"
"02/09/2023","0.000050","0.000059","0.000068","0.000047","4.39B","-15.19%"
"02/08/2023","0.000059","0.000084","0.000098","0.000047","4.36B","-30.68%"
"02/07/2023","0.000084","0.000062","0.000126","0.000053","6.20B","36.17%"
"02/06/2023","0.000062","0.000030","0.000080","0.000030","7.77B","105.60%"
"02/05/2023","0.000030","0.000031","0.000032","0.000029","6.34B","0.00%"
"02/04/2023","0.000031","0.000033","0.000035","0.000030","5.82B","-8.84%"
"02/03/2023","0.000033","0.000030","0.000035","0.000028","6.61B","13.03%"
"02/02/2023","0.000030","0.000032","0.000033","0.000028","6.93B","-6.06%"
"02/01/2023","0.000032","0.000030","0.000033","0.000029","5.15B","3.44%"
"01/31/2023","0.000030","0.000025","0.000032","0.000024","7.12B","19.91%"
"01/30/2023","0.000025","0.000031","0.000032","0.000025","4.34B","-17.28%"
"01/29/2023","0.000031","0.000030","0.000033","0.000029","3.97B","0.00%"
"01/28/2023","0.000030","0.000031","0.000032","0.000030","6.26B","-2.09%"
"01/27/2023","0.000031","0.000030","0.000033","0.000028","6.56B","2.27%"
"01/26/2023","0.000030","0.000031","0.000033","0.000030","6.26B","0.00%"
"01/25/2023","0.000031","0.000029","0.000035","0.000028","6.36B","6.05%"
"01/24/2023","0.000029","0.000030","0.000030","0.000028","6.00B","-3.51%"
"01/23/2023","0.000030","0.000031","0.000036","0.000030","6.40B","-3.86%"
"01/22/2023","0.000031","0.000029","0.000033","0.000029","6.30B","6.55%"
"01/21/2023","0.000029","0.000028","0.000031","0.000028","7.07B","4.17%"
"01/20/2023","0.000028","0.000027","0.000029","0.000026","7.59B","3.86%"
"01/19/2023","0.000027","0.000029","0.000031","0.000027","6.15B","-6.75%"
"01/18/2023","0.000029","0.000031","0.000031","0.000029","7.05B","-4.98%"
"01/17/2023","0.000031","0.000030","0.000033","0.000029","6.97B","0.00%"
"01/16/2023","0.000030","0.000031","0.000032","0.000028","6.94B","0.00%"
"01/15/2023","0.000031","0.000029","0.000032","0.000026","7.09B","3.63%"
"01/14/2023","0.000029","0.000025","0.000032","0.000024","7.58B","17.10%"
"01/13/2023","0.000025","0.000022","0.000027","0.000022","9.25B","12.43%"
"01/12/2023","0.000022","0.000022","0.000024","0.000022","9.25B","3.33%"
"01/11/2023","0.000022","0.000022","0.000028","0.000021","9.52B","0.00%"
"01/10/2023","0.000022","0.000022","0.000022","0.000021","9.59B","0.00%"
"01/09/2023","0.000022","0.000020","0.000022","0.000020","10.08B","8.55%"
