"","Date","Price","Open","High","Low","Vol.","Change.."
"1946",2018-02-22,0.0206,0.0209,0.0223,0.0194,"145.58M","-1.44%"
"1945",2018-02-23,0.0207,0.0206,0.0218,0.0199,"121.42M","0.49%"
"1944",2018-02-24,0.0195,0.0208,0.0214,0.019,"86.05M","-5.80%"
"1943",2018-02-25,0.0181,0.0196,0.02,0.0175,"83.21M","-7.18%"
"1942",2018-02-26,0.0188,0.0181,0.0193,0.0172,"90.31M","3.87%"
"1941",2018-02-27,0.0198,0.0188,0.0207,0.0183,"105.42M","5.32%"
"1940",2018-02-28,0.0178,0.0198,0.0203,0.0176,"79.30M","-10.10%"
"1939",2018-03-01,0.0188,0.0178,0.0195,0.0171,"93.01M","5.62%"
"1938",2018-03-02,0.0182,0.0187,0.0195,0.0176,"95.11M","-3.19%"
"1937",2018-03-03,0.0179,0.0182,0.0182,0.0175,"58.05M","-1.65%"
"1936",2018-03-04,0.018,0.0179,0.0182,0.0172,"74.40M","0.56%"
"1935",2018-03-05,0.0178,0.0179,0.0188,0.0175,"92.04M","-1.11%"
"1934",2018-03-06,0.016,0.0177,0.0178,0.0158,"107.07M","-10.11%"
"1933",2018-03-07,0.0107,0.016,0.0169,0.009,"502.61M","-33.13%"
"1932",2018-03-08,0.0098,0.0107,0.0125,0.0091,"470.16M","-8.41%"
"1931",2018-03-09,0.0102,0.0098,0.0103,0.0083,"246.42M","4.08%"
"1930",2018-03-10,0.0091,0.0102,0.0104,0.009,"130.44M","-10.78%"
"1929",2018-03-11,0.0099,0.009194,0.0106,0.0087,"120.26M","8.79%"
"1928",2018-03-12,0.0096,0.0099,0.0102,0.0089,"363.50M","-3.03%"
"1927",2018-03-13,0.00946,0.0096,0.009736,0.0091,"167.67M","-1.46%"
"1926",2018-03-14,0.008515,0.009463,0.0097,0.008311,"252.36M","-9.99%"
"1925",2018-03-15,0.008211,0.008509,0.008605,0.00765,"278.81M","-3.57%"
"1924",2018-03-16,0.008144,0.008211,0.008742,0.007839,"248.60M","-0.81%"
"1923",2018-03-17,0.0073,0.008144,0.008162,0.007282,"245.21M","-10.36%"
