"Date","Price","Open","High","Low","Change.."
2007-10-01,NA,6.86,7.098,6.753,"2.62%"
2007-10-02,NA,7.08,7.455,7.065,"5.35%"
2007-10-03,NA,7.449,7.505,7.2,"-2.02%"
2007-10-04,NA,7.24,7.431,7.15,"1.86%"
2007-10-05,NA,7.398,7.412,7.026,"-4.57%"
2007-10-08,NA,7.027,7.186,6.826,"-3.21%"
2007-10-09,NA,6.848,6.953,6.77,"0.25%"
2007-10-10,NA,6.936,7.08,6.835,"2.14%"
2007-10-11,NA,7.011,7.117,6.846,"-1.91%"
2007-10-12,NA,6.874,6.995,6.745,"1.43%"
2007-10-15,NA,7.087,7.49,7.087,"6.75%"
2007-10-16,NA,7.485,7.57,7.29,"-1.05%"
2007-10-17,NA,7.37,7.55,7.301,"1.24%"
2007-10-18,NA,7.458,7.616,7.25,"-1.13%"
2007-10-19,NA,7.321,7.364,7.027,"-4.52%"
2007-10-22,NA,7.053,7.056,6.808,"-2.13%"
2007-10-23,NA,6.892,6.999,6.64,"-1.89%"
2007-10-24,NA,6.76,7.058,6.687,"3.12%"
2007-10-25,NA,6.993,7.208,6.882,"3.10%"
2007-10-26,NA,7.176,7.227,7.073,"0.42%"
2007-10-29,NA,7.254,7.387,7.21,"0.71%"
2007-10-30,NA,7.986,8.175,7.94,"10.35%"
2007-10-31,NA,7.991,8.475,7.991,"3.85%"
2007-11-01,NA,8.373,8.677,8.231,"3.69%"
2007-11-02,NA,8.639,8.712,8.342,"-2.54%"
2007-11-05,NA,8.333,8.333,7.92,"-4.98%"
2007-11-06,NA,7.94,8.14,7.765,"-1.70%"
2007-11-07,NA,7.903,7.97,7.546,"-3.04%"
2007-11-08,NA,7.655,7.754,7.504,"1.17%"
2007-11-09,NA,7.718,7.96,7.675,"2.39%"
2007-11-12,NA,7.855,8.07,7.72,"0.81%"
2007-11-13,NA,7.914,8.123,7.882,"-0.15%"
2007-11-14,NA,7.924,8.07,7.77,"-1.43%"
2007-11-15,NA,7.771,7.885,7.65,"-1.72%"
2007-11-16,NA,7.71,8.049,7.65,"3.91%"
2007-11-19,NA,8.045,8.13,7.744,"-2.67%"
2007-11-20,NA,7.753,7.753,7.459,"-3.98%"
2007-11-21,NA,7.478,7.683,7.42,"0.98%"
2007-11-23,NA,7.575,7.74,7.465,"1.99%"
2007-11-26,NA,7.848,7.969,7.654,"0.30%"
2007-11-27,NA,7.701,7.764,7.52,"-2.15%"
2007-11-28,NA,7.597,7.6,7.18,"-4.68%"
2007-11-29,NA,7.52,7.676,7.38,"3.46%"
2007-11-30,NA,7.506,7.57,7.276,"-2.01%"
2007-12-03,NA,7.209,7.279,7.038,"-1.21%"
2007-12-04,NA,7.22,7.279,7.069,"-0.82%"
2007-12-05,NA,7.156,7.278,7.045,"0.42%"
2007-12-06,NA,7.225,7.445,7.175,"2.02%"
2007-12-07,NA,7.32,7.38,7.09,"-2.39%"
2007-12-10,NA,7.045,7.183,6.95,"-1.72%"
2007-12-11,NA,7.075,7.238,6.993,"0.75%"
2007-12-12,NA,7.141,7.438,7.11,"4.56%"
2007-12-13,NA,7.432,7.529,7.16,"-2.90%"
2007-12-14,NA,7.167,7.207,6.992,"-2.34%"
2007-12-17,NA,6.992,7.1,6.914,"0.14%"
2007-12-18,NA,7.049,7.185,7.024,"1.51%"
