"Date","Price","Open","High","Low","Change.."
2007-10-01,80.24,81.75,82.02,79.45,"-1.74%"
2007-10-02,80.05,80.22,80.43,78.87,"-0.24%"
2007-10-03,79.94,80.23,80.88,79.57,"-0.14%"
2007-10-04,81.44,79.68,81.75,78.91,"1.88%"
2007-10-05,81.22,81.4,81.68,80.51,"-0.27%"
2007-10-08,79.02,81.11,81.11,78.35,"-2.71%"
2007-10-09,80.26,79.26,81.1,78.39,"1.57%"
2007-10-10,81.3,80.22,81.35,79.72,"1.30%"
2007-10-11,83.08,81.32,83.67,81.25,"2.19%"
2007-10-12,83.69,82.87,84.05,82.69,"0.73%"
2007-10-15,86.13,83.91,86.71,83.5,"2.92%"
2007-10-16,87.61,86.5,88.2,86.13,"1.72%"
2007-10-17,87.4,87.5,89,86.91,"-0.24%"
2007-10-18,89.47,87.1,89.78,87.1,"2.37%"
2007-10-19,88.6,89.74,90.07,87.86,"-0.97%"
2007-10-22,87.56,88.86,88.86,86.17,"-1.17%"
2007-10-23,85.27,85.77,86.79,84.82,"-2.62%"
2007-10-24,87.1,85.17,87.79,84.68,"2.15%"
2007-10-25,90.46,87.63,90.6,87.54,"3.86%"
2007-10-26,91.86,90.36,92.22,90.2,"1.55%"
2007-10-29,93.53,91.72,93.8,91.52,"1.82%"
2007-10-30,90.38,93.67,93.68,89.53,"-3.37%"
2007-10-31,94.53,89.72,95.28,88.92,"4.59%"
2007-11-01,93.49,95.15,96.24,92.06,"-1.10%"
2007-11-02,95.93,93.65,96.03,93.05,"2.61%"
2007-11-05,93.98,95.93,96.12,93.72,"-2.03%"
2007-11-06,96.7,94.46,97.1,94.41,"2.89%"
2007-11-07,96.37,96.83,98.62,94.62,"-0.34%"
2007-11-08,95.46,95.84,97.7,94.93,"-0.94%"
2007-11-09,96.32,95.91,96.68,94.54,"0.90%"
2007-11-12,94.62,96.01,96.2,93.54,"-1.76%"
2007-11-13,91.17,93.59,94.7,90.13,"-3.65%"
2007-11-14,94.09,91.35,94.37,91.21,"3.20%"
2007-11-15,93.43,93.95,94.64,91.86,"-0.70%"
2007-11-16,95.1,93.7,95.73,93.2,"1.79%"
2007-11-19,94.64,93.88,95.15,93.16,"-0.48%"
2007-11-20,98.03,94.88,98.62,93.99,"3.58%"
2007-11-21,97.29,98.09,99.29,96.31,"-0.75%"
2007-11-23,98.18,97.36,98.47,96.16,"0.91%"
2007-11-26,97.7,98.28,99.11,96.5,"-0.49%"
2007-11-27,94.42,96.88,97.28,94.21,"-3.36%"
2007-11-28,90.62,94.56,95.22,90.33,"-4.02%"
2007-11-29,91.01,91.36,95.17,90.43,"0.43%"
2007-11-30,88.71,91.19,91.52,88.45,"-2.53%"
2007-12-03,89.31,88.79,89.99,87.14,"0.68%"
2007-12-04,88.32,89.68,89.98,87.34,"-1.11%"
2007-12-05,87.49,88.23,90.39,86.82,"-0.94%"
2007-12-06,90.23,87.27,90.73,85.82,"3.13%"
2007-12-07,88.28,90.53,90.68,87.07,"-2.16%"
2007-12-10,87.86,88.27,89.8,87.09,"-0.48%"
2007-12-11,90.02,88.22,90.55,87.92,"2.46%"
2007-12-12,94.39,89.45,94.85,89.26,"4.85%"
2007-12-13,92.25,94.21,94.85,91.85,"-2.27%"
2007-12-14,91.27,92.57,93.38,90.6,"-1.06%"
2007-12-17,90.63,91.43,91.95,89.49,"-0.70%"
2007-12-18,90.49,90.97,92.88,88.88,"-0.15%"
2007-12-19,91.24,90.35,92.35,89.7,"0.83%"
2007-12-20,91.06,91.39,92.25,90.57,"-0.20%"
2007-12-21,93.31,91.04,93.84,90.83,"2.47%"
2007-12-24,94.13,93.58,94.23,92.5,"0.88%"
2007-12-26,95.97,93.99,96.54,93.99,"1.95%"
2007-12-27,96.62,95.81,97.79,95.22,"0.68%"
2007-12-28,96,96.84,97.92,95.87,"-0.64%"
2007-12-31,95.98,96.12,96.78,94.73,"-0.02%"
2008-01-02,99.62,96.05,100,96.05,"3.79%"
2008-01-03,99.18,99.23,100.09,98.45,"-0.44%"
2008-01-04,97.91,99.17,99.41,97.1,"-1.28%"
2008-01-07,95.09,97.79,98.4,94.47,"-2.88%"
2008-01-08,96.33,95.35,97.54,95.26,"1.30%"
2008-01-09,95.67,96.24,97.97,95.42,"-0.69%"
2008-01-10,93.71,95.79,96.24,93.25,"-2.05%"
2008-01-11,92.69,94.24,94.65,92.31,"-1.09%"
2008-01-14,94.2,92.92,94.43,92.41,"1.63%"
2008-01-15,91.9,94.24,94.38,90.98,"-2.44%"
2008-01-16,90.84,91.68,91.9,89.26,"-1.15%"
2008-01-17,90.13,91,92.19,89.57,"-0.78%"
2008-01-18,90.57,89.9,91.32,89.61,"0.49%"
2008-01-22,89.85,90.58,91,86.11,"-0.79%"
2008-01-23,86.99,89.15,89.44,86.65,"-3.18%"
2008-01-24,89.41,87.72,89.75,87,"2.78%"
2008-01-25,90.71,89.55,91.38,89.51,"1.45%"
2008-01-28,90.99,90.62,91.36,88.78,"0.31%"
