"Date","Price","Open","High","Low","Change.."
NA,"754.1","750.6","755.7","747.8","0.55%"
NA,"736.3","753.9","754","730.7","-2.36%"
NA,"735.7","738.4","742.5","732.3","-0.08%"
NA,"743.8","734.8","744.7","726.3","1.10%"
NA,"747.2","743.8","750.7","732.7","0.46%"
NA,"738.7","747.5","748.5","736.7","-1.14%"
NA,"743.1","739","746.5","732.2","0.60%"
NA,"746","743.5","751.9","742.8","0.39%"
NA,"756.7","746.1","759.3","745.8","1.43%"
NA,"753.8","753.2","757.6","750","-0.38%"
2007-10-15,"762.2","754","765.5","752.7","1.11%"
2007-10-16,"762","763.7","772","758.2","-0.03%"
2007-10-17,"762.3","765.6","769.8","756.4","0.04%"
2007-10-18,"768.7","760.2","774.9","759.2","0.84%"
2007-10-19,"768.4","772.5","776.9","762.4","-0.04%"
2007-10-22,"760","770.9","772.8","749","-1.09%"
2007-10-23,"763.1","758.8","765.5","756.8","0.41%"
2007-10-24,"765.6","763.3","768","757.7","0.33%"
2007-10-25,"771","767.1","773.5","765.5","0.71%"
2007-10-26,"787.5","772.9","789.5","771.8","2.14%"
2007-10-29,"792.6","792.5","798.3","788.7","0.65%"
2007-10-30,"787.8","794.2","795.6","782.2","-0.61%"
2007-10-31,"795.3","784.8","800.8","780","0.95%"
NA,"793.7","799.4","802.5","786.6","-0.20%"
NA,"808.5","790.5","811","790","1.86%"
NA,"810.8","810.6","814.2","803.5","0.28%"
NA,"823.4","809","828","808.6","1.55%"
NA,"833.5","826.9","848","824.8","1.23%"
NA,"837.5","832","847.8","825.6","0.48%"
NA,"834.7","835.4","840.7","828.5","-0.33%"
NA,"807.7","831.5","833.6","792.8","-3.23%"
2007-11-13,"799","795.7","810.4","791.7","-1.08%"
2007-11-14,"814.7","802.3","817.4","800","1.96%"
2007-11-15,"787.3","813.2","819.4","783","-3.36%"
2007-11-16,"787","789","798.4","784.5","-0.04%"
2007-11-19,"778","788.3","794.9","775.7","-1.14%"
2007-11-20,"791.4","782.1","806.7","773.4","1.72%"
2007-11-21,"798.6","802.9","808","795","0.91%"
2007-11-22,"804","801.2","805.9","798.4","0.68%"
2007-11-23,"824.7","804.5","826.1","798.4","2.57%"
2007-11-26,"826.5","823.5","837.2","820","0.22%"
2007-11-27,"814","823.9","829.4","807.4","-1.51%"
2007-11-28,"800.3","812.6","815.9","791","-1.68%"
2007-11-29,"802.3","811.2","814.9","798.8","0.25%"
2007-11-30,"789.1","799.6","806.2","785","-1.65%"
NA,"794.7","789.4","800.9","783","0.71%"
NA,"807.6","800.3","811.7","792.6","1.62%"
NA,"803.7","808.7","813","797","-0.48%"
NA,"807.1","801","811.5","790.9","0.42%"
NA,"800.2","807.3","811.1","796.4","-0.85%"
NA,"813.5","806.5","818","799.5","1.66%"
NA,"817.1","811.5","819.3","801.5","0.44%"
NA,"818.8","804.5","822.8","802.2","0.21%"
2007-12-13,"804","812.9","819","796.8","-1.81%"
2007-12-14,"798","801.7","808.5","792.3","-0.75%"
2007-12-17,"799.3","798.8","803.6","789.6","0.16%"
2007-12-18,"807.4","798.9","811.4","794.7","1.01%"
2007-12-19,"805.4","807.6","809.4","802.2","-0.25%"
2007-12-20,"803.2","807.3","807.6","797.2","-0.27%"
2007-12-21,"815.4","800","816.7","799.5","1.52%"
2007-12-24,"816.5","815.5","819.7","812.2","0.13%"
2007-12-26,"829.5","816.3","830.2","811.6","1.59%"
2007-12-27,"831.8","828.1","835.5","825.2","0.28%"
2007-12-28,"842.7","829.6","844.6","828.3","1.31%"
2007-12-31,"838","843.2","847.4","833","-0.56%"
NA,"860","837.5","864.9","837.5","2.63%"
NA,"869.1","861.5","872.9","856.5","1.06%"
NA,"865.7","866.1","871.8","857","-0.39%"
NA,"862","862.8","867.8","857.8","-0.43%"
NA,"880.3","860.7","884","859.4","2.12%"
NA,"881.7","880.3","894.4","873.8","0.16%"
NA,"893.6","881","897.3","867.8","1.35%"
NA,"897.7","896.8","900.1","888.8","0.46%"
2008-01-14,"903.4","899.4","915.9","893.1","0.63%"
2008-01-15,"902.6","904.6","916.1","888.6","-0.09%"
2008-01-16,"882","890.6","901","875","-2.28%"
2008-01-17,"880.5","878.1","891.5","875.2","-0.17%"
2008-01-18,"881.7","879.8","889.4","870.6","0.14%"
2008-01-22,"890.3","882","895.6","849.5","0.98%"
2008-01-23,"883.1","893.5","896.5","876.6","-0.81%"
2008-01-24,"905.8","892.2","914.2","889.4","2.57%"
2008-01-25,"910.7","914.1","924.3","906","0.54%"
2008-01-28,"927.1","912.5","929.8","912.5","1.80%"
2008-01-29,"925.1","928.5","933.3","919.6","-0.22%"
2008-01-30,"926.3","930.1","942.2","921.1","0.13%"
2008-01-31,"928","933.1","934","923","0.18%"
NA,"913.5","929.8","941.8","908","-1.56%"
NA,"909.4","910.5","917.4","896.1","-0.45%"
NA,"890.3","907.5","911.3","888.4","-2.10%"
NA,"905","892.9","912","890","1.65%"
NA,"910","904.4","916","900.1","0.55%"
NA,"922.3","914.8","927.3","911.3","1.35%"
NA,"926.7","924.1","931","919.6","0.48%"
NA,"911.1","926","928.5","906","-1.68%"
2008-02-13,"910.2","909.8","914.5","899.5","-0.10%"
2008-02-14,"910.8","909.5","917.3","904.8","0.07%"
2008-02-15,"906.1","911.2","919","900.6","-0.52%"
2008-02-19,"929.8","905.1","934.4","903.2","2.62%"
2008-02-20,"937.8","930.6","949.2","916.1","0.86%"
2008-02-21,"949.2","947","958.4","941","1.22%"
2008-02-22,"947.8","948.5","953","938.1","-0.15%"
2008-02-25,"940.5","948","954.9","935.5","-0.77%"
2008-02-26,"948.9","940.3","953.2","928.9","0.89%"
2008-02-27,"961","951.8","967.7","951.8","1.28%"
2008-02-28,"967.5","961.2","975","955.5","0.68%"
2008-02-29,"975","973.1","978.5","966.2","0.78%"
NA,"984.2","975.6","991.9","975.5","0.94%"
NA,"966.3","985.7","990.3","958.3","-1.82%"
NA,"988.5","966.9","995.2","960.7","2.30%"
NA,"977.1","991","994.3","966.5","-1.15%"
NA,"974.2","977.5","990.7","971","-0.30%"
NA,"971.8","975.3","982.8","961.9","-0.25%"
NA,"976","974.9","987.8","966","0.43%"
NA,"980.5","974.1","985","969.5","0.46%"
2008-03-13,"993.8","984.9","1,001.50","982.7","1.36%"
2008-03-14,"999.5","997.2","1,009.00","991.7","0.57%"
2008-03-17,"1,002.60","1,004.50","1,033.90","994.1","0.31%"
2008-03-18,"1,004.30","1,003.70","1,013.40","976.8","0.17%"
2008-03-19,"945.3","982.9","997.8","937.5","-5.87%"
2008-03-20,"920","942.9","943.8","904.7","-2.68%"
2008-03-24,"918.7","918.3","927.5","906.2","-0.14%"
2008-03-25,"935","915.4","939.5","911.9","1.77%"
2008-03-26,"949.2","939.1","954.9","934.7","1.52%"
2008-03-27,"948.8","954.2","955.2","940.1","-0.04%"
2008-03-28,"936.5","952.8","956.3","928","-1.30%"
2008-03-31,"921.5","936.4","945.7","917.1","-1.60%"
NA,"887.8","920.5","925.7","876.3","-3.66%"
NA,"900.2","888","911.5","885.1","1.40%"
NA,"909.6","906.6","913.2","892","1.04%"
NA,"913.2","907.7","919","903","0.40%"
NA,"926.8","917","933.7","914.4","1.49%"
NA,"918","923.9","929.7","911.4","-0.95%"
NA,"937.5","919.1","939.6","906.6","2.12%"
NA,"931.8","937.5","943.4","925.4","-0.61%"
NA,"927","932.7","935.8","920.5","-0.52%"
2008-04-14,"928.7","924.2","935.4","917.5","0.18%"
2008-04-15,"932","928","939.8","926.1","0.36%"
2008-04-16,"948.3","931.3","952.7","927.3","1.75%"
2008-04-17,"942.9","948.5","956.2","940.3","-0.57%"
2008-04-18,"915.2","944.1","949.8","907.3","-2.94%"
2008-04-21,"917.6","920.1","931.9","914","0.26%"
2008-04-22,"925.2","919","928.5","914.4","0.83%"
2008-04-23,"909","919.4","925.7","899.2","-1.75%"
2008-04-24,"889.4","906.9","909.3","885.4","-2.16%"
2008-04-25,"889.7","888.7","899","880","0.03%"
2008-04-28,"895.5","890","898.1","888.8","0.65%"
2008-04-29,"876.8","895.6","895.8","870.3","-2.09%"
2008-04-30,"865.1","872.2","880.8","864.1","-1.33%"
NA,"850.9","879","883.6","848.5","-1.64%"
NA,"858","853.8","860.9","846.4","0.83%"
NA,"874.1","859.2","876","858.7","1.88%"
NA,"877.7","875.4","884.5","872.6","0.41%"
NA,"871.2","877.4","883.3","864.4","-0.74%"
NA,"882.1","870.1","887","866.4","1.25%"
NA,"885.8","885.5","890.8","871","0.42%"
NA,"884.9","884.3","890.8","878.5","-0.10%"
2008-05-13,"869.6","884","887.2","861.4","-1.73%"
2008-05-14,"866.5","867.2","871.7","860","-0.36%"
2008-05-15,"880","865.6","888.5","862.3","1.56%"
2008-05-16,"899.9","882.9","905.6","880.5","2.26%"
2008-05-19,"905.8","903.2","914.2","900.8","0.66%"
2008-05-20,"920.2","906.2","924.1","903.1","1.59%"
2008-05-21,"928.6","921","933","916.5","0.91%"
2008-05-22,"918.3","932.9","935.4","917.1","-1.11%"
2008-05-23,"925.8","921.2","929.5","914.7","0.82%"
2008-05-26,"929","924.8","929","923.2","0.35%"
2008-05-27,"907.9","924.8","930.6","903.3","-2.27%"
2008-05-28,"900.5","906.2","909.2","888.3","-0.82%"
2008-05-29,"881.7","906.2","907.8","876.6","-2.09%"
2008-05-30,"891.5","881.7","892.8","873","1.11%"
NA,"897","891.3","901.2","884.4","0.62%"
