"Date","Price","Open","High","Low","Change.."
2007-10-01,"4,972.80","4,923.35","4,992.55","4,902.25","1.09%"
2007-10-03,"5,098.30","4,996.40","5,150.95","4,921.90","2.52%"
2007-10-04,"5,090.90","5,097.95","5,116.65","5,012.40","-0.15%"
2007-10-05,"5,054.10","5,094.15","5,123.35","5,033.35","-0.72%"
2007-10-08,"4,944.10","5,093.15","5,112.90","4,882.35","-2.18%"
2007-10-09,"5,175.95","4,909.30","5,190.80","4,865.15","4.69%"
2007-10-10,"5,288.65","5,195.15","5,302.60","5,195.15","2.18%"
2007-10-11,"5,371.15","5,309.95","5,378.05","5,268.65","1.56%"
2007-10-12,"5,276.30","5,347.85","5,392.75","5,253.25","-1.77%"
2007-10-15,"5,496.80","5,309.55","5,506.60","5,309.55","4.18%"
2007-10-16,"5,497.70","5,513.00","5,533.15","5,411.50","0.02%"
2007-10-17,"5,380.35","5,237.85","5,414.15","4,990.50","-2.13%"
2007-10-18,"5,177.45","5,401.20","5,548.15","5,102.90","-3.77%"
2007-10-19,"5,034.10","5,194.75","5,194.75","4,928.80","-2.77%"
2007-10-22,"5,011.10","4,981.75","5,068.75","4,903.00","-0.46%"
2007-10-23,"5,299.30","5,049.80","5,310.60","5,049.80","5.75%"
2007-10-24,"5,324.55","5,368.15","5,402.05","5,250.05","0.48%"
2007-10-25,"5,389.70","5,326.70","5,422.90","5,299.95","1.22%"
2007-10-26,"5,524.95","5,400.55","5,537.05","5,342.40","2.51%"
2007-10-29,"5,705.55","5,583.45","5,719.25","5,583.45","3.27%"
2007-10-30,"5,687.35","5,725.70","5,783.65","5,649.40","-0.32%"
2007-10-31,"5,718.30","5,707.50","5,766.90","5,681.20","0.54%"
2007-11-01,"5,677.30","5,792.20","5,823.00","5,649.45","-0.72%"
2007-11-02,"5,742.00","5,632.45","5,752.35","5,540.05","1.14%"
2007-11-05,"5,670.30","5,742.30","5,770.25","5,645.55","-1.25%"
2007-11-06,"5,609.70","5,674.25","5,775.80","5,582.75","-1.07%"
2007-11-07,"5,603.75","5,647.85","5,685.20","5,562.90","-0.11%"
2007-11-08,"5,535.15","5,549.45","5,566.55","5,479.15","-1.22%"
2007-11-09,"5,502.20","5,564.65","5,611.60","5,455.15","-0.60%"
2007-11-12,"5,455.40","5,414.55","5,469.65","5,319.55","-0.85%"
2007-11-13,"5,538.90","5,469.00","5,594.05","5,437.15","1.53%"
2007-11-14,"5,764.00","5,626.00","5,774.10","5,626.00","4.06%"
2007-11-15,"5,753.55","5,778.60","5,798.80","5,736.75","-0.18%"
2007-11-16,"5,757.05","5,732.85","5,799.45","5,678.05","0.06%"
2007-11-19,"5,790.00","5,797.75","5,837.05","5,777.40","0.57%"
2007-11-20,"5,669.50","5,755.85","5,812.55","5,642.35","-2.08%"
2007-11-21,"5,442.20","5,663.20","5,667.25","5,411.50","-4.01%"
2007-11-22,"5,408.90","5,447.30","5,490.60","5,278.50","-0.61%"
2007-11-23,"5,492.50","5,468.20","5,524.15","5,400.95","1.55%"
2007-11-26,"5,607.30","5,551.25","5,644.95","5,551.25","2.09%"
2007-11-27,"5,585.65","5,614.50","5,614.50","5,540.80","-0.39%"
2007-11-28,"5,513.05","5,587.70","5,637.45","5,493.80","-1.30%"
2007-11-29,"5,520.90","5,568.65","5,617.40","5,502.70","0.14%"
2007-11-30,"5,655.95","5,520.25","5,674.65","5,520.25","2.45%"
2007-12-03,"5,763.10","5,661.75","5,771.85","5,661.75","1.89%"
2007-12-04,"5,764.85","5,776.25","5,795.85","5,744.50","0.03%"
2007-12-05,"5,845.90","5,783.75","5,853.40","5,772.30","1.41%"
2007-12-06,"5,851.70","5,892.80","5,928.65","5,818.20","0.10%"
2007-12-07,"5,870.00","5,891.65","5,931.85","5,785.00","0.31%"
