"Date","Price","Open","High","Low","Change.."
2007-10-01,13.855,13.935,13.99,13.76,"-0.47%"
2007-10-02,13.45,13.85,13.86,13.18,"-2.92%"
2007-10-03,13.47,13.455,13.595,13.35,"0.15%"
2007-10-04,13.5,13.43,13.53,13.15,"0.22%"
2007-10-05,13.49,13.49,13.63,13.31,"-0.07%"
2007-10-08,13.36,13.52,13.545,13.325,"-0.96%"
2007-10-09,13.583,13.345,13.685,13.25,"1.67%"
2007-10-10,13.668,13.61,13.79,13.585,"0.63%"
2007-10-11,13.985,13.675,14.03,13.65,"2.32%"
2007-10-12,13.903,13.865,13.995,13.795,"-0.59%"
2007-10-15,13.855,13.915,14.12,13.83,"-0.35%"
2007-10-16,13.658,13.88,14.09,13.6,"-1.42%"
2007-10-17,13.75,13.695,13.915,13.61,"0.67%"
2007-10-18,13.803,13.735,13.9,13.695,"0.39%"
2007-10-19,13.635,13.885,13.995,13.365,"-1.22%"
2007-10-22,13.555,13.64,13.67,13.325,"-0.59%"
2007-10-23,13.65,13.505,13.72,13.505,"0.70%"
2007-10-24,13.59,13.66,13.685,13.45,"-0.44%"
2007-10-25,13.905,13.645,14.095,13.615,"2.32%"
2007-10-26,14.28,13.955,14.32,13.95,"2.70%"
2007-10-29,14.43,14.48,14.59,14.29,"1.05%"
2007-10-30,14.328,14.57,14.645,14.195,"-0.71%"
2007-10-31,14.438,14.22,14.615,14.18,"0.77%"
2007-11-01,14.325,14.55,14.605,13.98,"-0.78%"
2007-11-02,14.599,14.135,14.735,14.13,"1.91%"
2007-11-05,14.785,14.705,14.88,14.46,"1.27%"
2007-11-06,15.38,14.78,15.66,14.695,"4.02%"
2007-11-07,15.325,15.645,16.275,15.25,"-0.36%"
2007-11-08,15.515,15.32,15.865,14.86,"1.24%"
2007-11-09,15.545,15.17,15.695,15.07,"0.19%"
2007-11-12,14.762,15.47,15.5,14.31,"-5.04%"
2007-11-13,14.61,14.465,14.94,14.4,"-1.03%"
2007-11-14,15.065,14.62,15.155,14.615,"3.11%"
2007-11-15,14.482,15.035,15.155,14.34,"-3.87%"
2007-11-16,14.51,14.43,14.745,14.365,"0.19%"
2007-11-19,14.16,14.52,14.67,14.1,"-2.41%"
2007-11-20,14.5,14.24,14.835,14.105,"2.40%"
2007-11-21,14.42,14.74,14.825,14.325,"-0.55%"
2007-11-22,14.53,14.445,14.58,14.395,"0.76%"
2007-11-23,14.735,14.54,14.905,14.395,"1.41%"
2007-11-26,14.83,14.795,15.02,14.585,"0.64%"
2007-11-27,14.485,14.715,14.8,14.3,"-2.33%"
2007-11-28,14.335,14.45,14.54,14.12,"-1.04%"
2007-11-29,14.445,14.605,14.705,14.32,"0.77%"
2007-11-30,14.165,14.36,14.455,13.965,"-1.94%"
2007-12-03,14.21,14.155,14.395,13.96,"0.32%"
2007-12-04,14.465,14.315,14.57,14.185,"1.79%"
2007-12-05,14.46,14.51,14.58,14.28,"-0.03%"
2007-12-06,14.625,14.435,14.72,14.125,"1.14%"
2007-12-07,14.505,14.65,14.705,14.395,"-0.82%"
2007-12-10,14.85,14.545,14.9,14.5,"2.38%"
2007-12-11,14.865,14.76,14.975,14.58,"0.10%"
2007-12-12,14.825,14.655,14.97,14.61,"-0.27%"
