"Date","Price","Open","High","Low","Vol.","Change %"
"09/25/2023","19,606.85","19,622.05","19,663.00","19,539.70","363.90M","-0.04%"
"09/22/2023","19,614.20","19,679.50","19,732.80","19,597.20","474.20M","-0.31%"
"09/21/2023","19,674.80","19,779.20","19,784.80","19,641.20","465.83M","-0.80%"
"09/20/2023","19,832.60","19,919.00","19,984.15","19,809.55","658.16M","-1.11%"
"09/18/2023","20,056.15","20,092.95","20,115.50","20,039.75","560.90M","-0.26%"
"09/15/2023","20,108.40","20,079.75","20,136.30","20,048.75","810.61M","0.42%"
"09/14/2023","20,024.80","20,040.55","20,083.70","19,961.40","485.43M","0.24%"
"09/13/2023","19,977.80","19,900.85","20,000.50","19,844.75","496.30M","0.36%"
"09/12/2023","19,905.20","20,082.10","20,082.40","19,835.05","662.99M","-0.33%"
"09/11/2023","19,970.80","19,864.90","19,981.00","19,841.75","547.13M","0.92%"
"09/08/2023","19,789.30","19,741.30","19,834.90","19,690.50","585.96M","0.50%"
"09/07/2023","19,690.50","19,572.10","19,703.00","19,533.15","618.33M","0.57%"
"09/06/2023","19,578.25","19,542.00","19,599.95","19,464.10","706.34M","0.24%"
"09/05/2023","19,531.20","19,525.15","19,542.80","19,482.20","536.71M","0.23%"
"09/04/2023","19,485.50","19,473.40","19,499.75","19,382.95","636.24M","0.53%"
"09/01/2023","19,382.95","19,212.90","19,403.75","19,210.15","582.62M","0.93%"
"08/31/2023","19,204.80","19,331.35","19,338.55","19,178.00","876.03M","-0.53%"
"08/30/2023","19,307.50","19,383.70","19,400.65","19,295.35","598.02M","0.08%"
"08/29/2023","19,291.25","19,311.70","19,313.15","19,259.45","508.56M","0.25%"
"08/28/2023","19,243.65","19,235.90","19,299.10","19,183.35","507.00M","0.26%"
"08/25/2023","19,193.90","19,242.55","19,278.50","19,162.70","685.64M","-0.67%"
"08/24/2023","19,323.35","19,458.35","19,504.20","19,306.65","470.35M","-0.20%"
"08/23/2023","19,362.55","19,371.35","19,397.00","19,302.70","448.65M","0.19%"
"08/22/2023","19,325.45","19,333.05","19,364.25","19,305.50","455.44M","0.11%"
"08/21/2023","19,303.40","19,224.05","19,333.20","19,205.25","408.73M","0.49%"
"08/18/2023","19,209.35","19,208.25","19,273.15","19,157.45","435.82M","-0.29%"
"08/17/2023","19,264.60","19,350.80","19,361.60","19,236.30","425.79M","-0.48%"
"08/16/2023","19,358.05","19,268.05","19,375.05","19,212.75","","0.14%"
"08/14/2023","19,330.80","19,313.45","19,363.55","19,153.70","455.06M","-0.15%"
"08/11/2023","19,359.00","19,482.30","19,484.40","19,343.25","461.19M","-0.53%"
"08/10/2023","19,463.10","19,535.55","19,548.90","19,423.50","564.71M","-0.47%"
"08/09/2023","19,554.75","19,510.60","19,565.70","19,403.05","511.72M","0.29%"
"08/08/2023","19,497.45","19,554.60","19,560.55","19,450.10","595.74M","-0.12%"
"08/07/2023","19,521.85","19,509.90","19,546.15","19,451.20","642.67M","0.38%"
"08/04/2023","19,448.75","19,394.75","19,472.50","19,378.40","866.02M","0.71%"
"08/03/2023","19,310.90","19,388.55","19,453.90","19,222.40","822.52M","-0.70%"
"08/02/2023","19,447.10","19,590.55","19,610.00","19,339.75","560.55M","-1.08%"
