"Date","Price","Open","High","Low","Vol.","Change %"
"09/26/2023","11.65","11.69","11.69","11.63","2.29K","-0.94%"
"09/25/2023","11.76","11.83","11.94","11.65","13.67K","-0.68%"
"09/22/2023","11.84","11.88","11.88","11.80","9.45K","0.00%"
"09/21/2023","11.84","11.68","12.03","11.67","17.16K","-3.50%"
"09/20/2023","12.27","12.24","12.52","12.20","26.53K","0.25%"
"09/19/2023","12.24","12.14","12.25","12.12","25.25K","1.58%"
"09/18/2023","12.05","12.02","12.27","12.02","23.80K","1.43%"
"09/15/2023","11.88","11.64","12.02","11.63","15.44K","-2.46%"
"09/14/2023","12.18","12.02","12.18","12.02","13.95K","1.16%"
"09/13/2023","12.04","12.24","12.24","11.99","10.13K","0.25%"
"09/12/2023","12.01","11.86","12.19","11.80","22.54K","3.53%"
"09/11/2023","11.60","12.00","12.40","11.55","68.65K","-5.54%"
"09/08/2023","12.28","12.21","12.36","12.16","9.33K","-0.57%"
"09/07/2023","12.35","12.20","12.35","12.03","17.02K","0.90%"
"09/06/2023","12.24","11.87","12.25","11.87","26.22K","-0.08%"
"09/05/2023","12.25","12.00","12.40","12.00","17.70K","0.49%"
"09/01/2023","12.19","12.14","12.68","12.00","15.86K","-2.09%"
"08/31/2023","12.45","12.90","13.07","12.35","40.92K","-3.04%"
"08/30/2023","12.84","13.00","13.19","12.65","29.60K","-0.47%"
"08/29/2023","12.90","11.11","13.20","11.11","121.35K","16.74%"
"08/28/2023","11.05","10.96","11.30","10.96","10.51K","0.00%"
"08/25/2023","11.05","11.09","11.19","10.83","11.79K","0.00%"
"08/24/2023","11.05","11.59","11.59","10.74","28.23K","-2.64%"
"08/23/2023","11.35","11.15","11.41","11.13","36.69K","2.44%"
"08/22/2023","11.08","11.15","11.35","11.02","13.63K","-1.69%"
"08/21/2023","11.27","11.00","11.35","11.00","24.11K","1.53%"
"08/18/2023","11.10","11.60","11.65","10.73","115.27K","-7.42%"
"08/17/2023","11.99","12.30","12.40","11.77","30.05K","-2.84%"
"08/16/2023","12.34","12.45","12.50","12.23","29.66K","-0.96%"
"08/15/2023","12.46","12.69","12.70","12.38","18.43K","-1.74%"
"08/14/2023","12.68","12.72","12.80","12.68","19.47K","0.00%"
"08/11/2023","12.68","12.78","12.78","12.58","6.99K","-0.78%"
"08/10/2023","12.78","12.70","12.78","12.32","10.44K","0.16%"
"08/09/2023","12.76","13.00","13.02","12.71","20.76K","-0.55%"
"08/08/2023","12.83","12.47","12.90","12.46","28.85K","2.89%"
"08/07/2023","12.47","12.63","12.63","12.25","33.50K","-1.19%"
"08/04/2023","12.62","12.35","12.70","12.35","18.27K","-0.47%"
"08/03/2023","12.68","12.40","12.79","12.35","46.81K","1.36%"
"08/02/2023","12.51","12.42","12.59","12.31","21.92K","0.64%"
"08/01/2023","12.43","12.66","12.66","12.31","27.01K","-1.43%"
"07/31/2023","12.61","12.58","12.88","12.52","19.36K","0.24%"
"07/28/2023","12.58","13.00","13.00","12.54","24.94K","0.24%"
"07/27/2023","12.55","13.10","13.19","12.55","64.98K","-4.20%"
"07/26/2023","13.10","13.20","13.20","13.01","20.41K","-0.15%"
"07/25/2023","13.12","12.80","13.32","12.80","13.38K","0.92%"
"07/24/2023","13.00","13.20","13.38","12.76","24.76K","-3.06%"
"07/21/2023","13.41","13.05","13.91","13.05","43.38K","1.90%"
"07/20/2023","13.16","13.12","14.28","13.12","27.46K","-0.38%"
"07/19/2023","13.21","13.03","13.39","13.03","22.18K","0.69%"
"07/18/2023","13.12","13.29","13.49","13.05","27.95K","-1.50%"
"07/17/2023","13.32","13.08","13.50","12.91","50.15K","0.15%"
"07/14/2023","13.30","13.59","14.39","12.56","66.79K","-4.86%"
"07/13/2023","13.98","11.73","14.57","11.69","179.65K","19.59%"
"07/12/2023","11.69","11.26","12.00","11.26","46.48K","-0.17%"
"07/11/2023","11.71","11.65","11.79","11.65","21.78K","-0.34%"
"07/10/2023","11.75","11.41","11.75","11.41","27.27K","2.35%"
"07/07/2023","11.48","11.30","11.57","11.30","12.56K","1.15%"
"07/06/2023","11.35","11.21","11.98","11.21","32.32K","0.00%"
"07/05/2023","11.35","11.16","11.37","11.16","27.08K","-1.56%"
"07/03/2023","11.53","11.74","11.74","11.11","51.63K","1.68%"
"06/30/2023","11.34","11.40","11.53","10.81","35.16K","0.44%"
"06/29/2023","11.29","11.42","11.44","11.05","79.70K","1.16%"
"06/28/2023","11.16","11.36","11.36","11.05","43.68K","-1.76%"
